# area,perimeter,comp,mean_x,mean_y,var_x,var_y,assym_x,assym_y,conj_x,conj_y,conj_xy,conj_xy2,target
4.354793756967669793e-01,7.826520438683948200e-01,4.437299687614101873e-02,4.108684341910677218e-01,4.566703999999999763e-01,9.009802657495392941e-02,6.247955570466839220e-02,2.930078940639345708e-01,1.582096860116625758e-01,9.917439999999999589e-01,9.936639999999999917e-01,9.897782857142857216e-01,9.893119999999999692e-01,1.000000000000000000e+01
3.824093244383099388e-01,7.851239669421488099e-01,3.453601108033241274e-02,3.391707327941537176e-01,5.217864584565834463e-01,7.581684849371610191e-02,6.609762606222156778e-02,5.821826429013160498e-01,-7.821312263148230692e-02,9.470623621415680260e-01,9.745337878484058303e-01,9.452576699418487882e-01,9.424503709645076777e-01,1.000000000000000000e+01
3.821102909248805801e-01,7.531380753138074979e-01,4.074074074074074403e-02,4.081787260358688552e-01,4.829048463356974130e-01,6.643341449977417656e-02,7.035839215951705805e-02,3.654416220611045873e-01,-5.909455272679317583e-02,9.545454545454545858e-01,9.744318181818182323e-01,9.532196969696969946e-01,9.443181818181818343e-01,1.000000000000000000e+01
2.853184147234131274e-01,7.581227436823104737e-01,3.093537414965986249e-02,4.323979145771171817e-01,4.933188740865697142e-01,7.632172794245652148e-02,6.150440049289782746e-02,1.782599718872243666e-01,1.076722795291164547e-01,9.519882719442916974e-01,9.686641011544805391e-01,9.386109584020524421e-01,9.472237493128092822e-01,1.000000000000000000e+01
3.100950906678460739e-01,8.210332103321033026e-01,2.832470647645499162e-02,4.149693394919030109e-01,4.646069287141905146e-01,8.375909535762403324e-02,6.633984758894759248e-02,2.263451441651628815e-01,7.290246852103419994e-02,9.509716527010162457e-01,9.677304332323052316e-01,9.440185416295240328e-01,9.422356926368337104e-01,1.000000000000000000e+01
2.658120862093252823e-01,9.635416666666666297e-01,1.722972972972973069e-02,3.753901909499632317e-01,4.983516267359061613e-01,8.687967085471633155e-02,7.334926051443355077e-02,4.639110601595304306e-01,1.375146733487801753e-02,9.525172231054583882e-01,9.680975092739798615e-01,9.463698993110757351e-01,9.475357710651828302e-01,1.000000000000000000e+01
2.557616868257600595e-01,8.075709779179810477e-01,2.387619018554687500e-02,3.858059432011887724e-01,5.260468403759456235e-01,6.172549466351349295e-02,6.658259374450067880e-02,6.371908873725996569e-01,-3.366834647552505166e-02,9.496724716408372347e-01,9.659690046333280211e-01,9.332161687170474895e-01,9.509506310912286819e-01,1.000000000000000000e+01
3.187499999999999778e-01,8.304195804195804165e-01,2.735069252077562338e-02,3.909930613868387583e-01,4.878362502025603842e-01,7.805740893495576038e-02,7.252834206315650345e-02,2.757798979150855034e-01,9.361792893634046653e-02,9.470102090422946040e-01,9.745584184086857338e-01,9.426349052017500840e-01,9.416626154594068820e-01,1.000000000000000000e+01
4.776387866895593359e-01,8.469827586206896131e-01,3.782478358552014003e-02,3.591700795854624317e-01,5.138311065565408509e-01,7.307660678427255196e-02,7.702475696539770600e-02,6.244664016841225962e-01,-9.926289842957976284e-02,9.542964738103388855e-01,9.758644299897295538e-01,9.479630263608352925e-01,9.481342006162273295e-01,1.000000000000000000e+01
3.315470171890798623e-01,8.536585365853658347e-01,2.731361932528113268e-02,3.692403569486985560e-01,5.178957708320034437e-01,8.946754995335534644e-02,5.936597543287171208e-02,4.303389162079803154e-01,-1.354416686556168259e-01,9.458676425739555027e-01,9.769746874046965068e-01,9.371759682830130833e-01,9.475449832265935290e-01,1.000000000000000000e+01
